client_number,tickets_25_26,tickets_24_25,tickets_23_24,tickets_22_23,tickets_21_22,tickets_19_20,tickets_18_19,tickets_17_18,tickets_16_17,tickets_15_16,tickets_14_15
11285,0,0,1,0,0,0,1,1,1,1,1
11286,0,0,1,0,0,1,1,1,1,1,1
11288,0,1,1,0,0,0,0,0,0,1,1
11296,1,1,1,1,1,1,1,1,1,1,1
11302,1,1,1,1,1,1,1,1,1,1,1
11304,1,1,1,1,1,1,1,1,1,1,1
11318,1,1,1,1,1,1,1,1,1,1,1
11319,1,1,1,1,1,1,1,0,0,1,1
11321,1,1,1,1,1,1,1,0,0,1,1
11327,0,1,1,1,1,1,1,1,1,1,1
11329,0,1,1,1,1,1,1,1,1,1,1
11329,0,1,1,1,1,1,1,1,1,1,1
11329,0,1,1,1,1,1,1,1,1,1,1
11329,0,1,1,1,1,1,1,1,1,1,1
11329,0,1,1,1,1,1,1,1,1,1,1
11330,0,1,1,1,1,1,1,1,1,1,1
11330,0,1,1,1,1,1,1,1,1,1,1
11332,1,1,1,1,1,1,1,1,1,1,0
11339,1,1,1,1,1,1,1,1,1,1,1
11340,1,1,1,1,1,1,1,1,1,1,1
11344,0,1,1,1,1,1,1,1,1,1,1
11344,0,1,1,1,1,1,1,1,1,1,1
11345,1,1,1,1,1,1,1,1,1,1,1
11352,0,1,1,1,1,1,1,1,1,1,1
11352,0,1,1,1,1,1,1,1,1,1,1
11352,0,1,1,1,1,1,1,1,1,1,1
11352,0,1,1,1,1,1,1,1,1,1,1
11353,0,1,1,1,1,1,1,1,1,1,1
11353,0,1,1,1,1,1,1,1,1,1,1
11353,0,1,1,1,1,1,1,1,1,1,1
11353,0,1,1,1,1,1,1,1,1,1,1
11359,0,0,1,0,0,0,0,1,1,1,1
11364,1,1,1,1,1,1,1,1,1,1,1
11365,1,1,1,1,1,1,1,1,1,1,1
11366,1,1,1,1,1,1,1,1,1,1,1
11367,1,1,1,1,1,1,1,1,1,1,1
11370,0,1,1,1,1,1,1,1,1,1,1
11370,0,1,1,1,1,1,1,1,1,1,1
11370,0,1,1,1,1,1,1,1,1,1,1
11373,1,1,1,1,1,1,1,1,1,1,1
11374,1,1,1,1,1,1,1,1,1,1,1
11378,1,1,1,1,1,1,1,1,1,1,1
11379,0,0,1,1,1,1,1,1,1,1,1
11381,1,1,1,0,0,0,0,0,1,1,1
11382,0,1,1,0,0,0,0,0,1,0,0
11382,0,1,1,0,0,0,0,0,1,0,0
11382,0,1,1,0,0,0,0,0,1,0,0
11382,0,1,1,0,0,0,0,0,1,0,0
11382,0,1,1,0,0,0,0,0,1,0,0
11382,0,1,1,0,0,0,0,0,1,0,0
11389,0,0,1,0,0,0,0,1,1,1,1
11390,0,1,1,1,1,1,1,1,1,1,1
11403,0,0,1,0,0,0,0,0,0,1,0
11404,1,1,1,1,1,1,1,1,1,1,1
11409,0,1,1,1,1,1,0,0,0,1,1
11422,1,1,1,1,1,1,1,1,1,1,1
11443,1,1,1,1,1,0,0,0,1,1,1
11450,1,1,1,0,0,1,1,1,1,1,1
11451,1,1,1,1,1,1,1,1,1,1,1
11454,1,1,1,1,1,1,1,1,1,1,1
11456,1,1,1,1,1,1,1,0,0,0,0
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11457,0,1,1,1,1,1,1,1,1,1,1
11459,1,1,1,1,1,1,1,1,1,1,1
11459,1,1,1,1,1,1,1,1,1,1,1
11459,1,1,1,1,1,1,1,1,1,1,1
11459,1,1,1,1,1,1,1,1,1,1,1
11475,0,0,1,1,1,1,1,1,1,1,1
11476,1,1,1,1,1,1,1,1,1,1,1
11486,0,1,1,1,1,1,1,1,1,1,1
11486,0,1,1,1,1,1,1,1,1,1,1
11486,0,1,1,1,1,1,1,1,1,1,1
11486,0,1,1,1,1,1,1,1,1,1,1
11486,0,1,1,1,1,1,1,1,1,1,1
11486,0,1,1,1,1,1,1,1,1,1,1
11488,0,0,1,1,1,0,0,1,1,1,1
11511,0,1,1,1,1,1,1,1,1,1,1
11529,0,1,1,1,1,1,1,1,1,1,1
11529,0,1,1,1,1,1,1,1,1,1,1
